Rating,Reviews,ID,userID
4.3,66,14,14
4.2,643,1033,1033
4.4,287,158,158
4.2,510,72,72
4,5360,924,924
4.4,602,896,896
4.2,518,992,992
4.7,240,657,657
4.2,412,991,991
4.7,5947,199,199
4.3,31,936,936
3.9,17,835,835
4.2,410,366,366
4.7,310,549,549
4.6,250,912,912
3.2,1020,157,157
4.6,72,273,273
4.2,83,345,345
4.9,74,428,428
4.3,415,811,811
4.4,181,594,594
4.2,3202,1037,1037
4.1,2023,610,610
3.7,672,705,705
4.6,84,148,148
4.5,145,241,241
4.8,2618,982,982
4.2,3352,198,198
4.5,204,1042,1042
4.2,6061,574,574
4.1,135,903,903
4.5,293,551,551
4.7,2694,268,268
4.3,25,756,756
3.7,1610,582,582
4.4,148,614,614
3.7,338,872,872
4,16,724,724
3.9,219,654,654
5,2,2,2
4.6,841,4,4
4,38,1023,1023
4.1,57,481,481
4.5,425,234,234
4.4,333,156,156
3.9,196,1041,1041
3.8,1864,146,146
3.8,930,862,862
4.6,738,306,306
4.3,2388,890,890
3.9,525,511,511
3.4,1651,690,690
4.2,1035,19,19
3.8,105,474,474
4.4,156,661,661
4.2,286,802,802
4.9,1082,730,730
4,5741,698,698
4.1,294,773,773
4.5,762,422,422
4.2,590,295,295
3.5,136,625,625
3.8,439,720,720
4.7,106,774,774
4.2,242,1021,1021
4.5,342,662,662
4.3,1444,505,505
3.9,1337,667,667
4.4,198,608,608
4.8,2009,526,526
4.6,904,1005,1005
4,2241,502,502
4.3,4807,986,986
4.2,31,249,249
3.6,217,487,487
4.8,53,297,297
4.8,10,762,762
4.2,110,251,251
4.3,37,919,919
4.4,206,415,415
4.1,999,902,902
4.4,7,30,30
3.8,540,693,693
4.5,937,304,304
4.7,160,99,99
4,151,523,523
4.5,571,132,132
4.1,302,348,348
3.8,98,1070,1070
4.1,233,326,326
3.9,1244,211,211
3.9,234,908,908
3.6,546,71,71
3.9,75,9,9
4.3,4675,691,691
4.7,1510,189,189
3.3,857,454,454
4.1,290,1054,1054
4.6,99,350,350
4.9,1982,877,877
3.9,1298,240,240
4,66,960,960
3.7,198,883,883
4,273,58,58
5,17,832,832
4.5,18897,161,161
3.7,39,184,184
4.4,325,522,522
3.4,133,588,588
4.9,665,475,475
4.9,29,128,128
5,79,1047,1047
4.9,41,875,875
5,4,889,889
4,1105,885,885
4.8,5,239,239
4.5,430,88,88
4.1,9338,612,612
3.9,1375,772,772
4.7,1014,213,213
4.3,192,527,527
4.8,2735,791,791
